Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000222645088332468,0.0212706525268758,0.0478471444162569,0,0,0,1.14473814613392,0.00406802532833408,-2.59714279495066E-07,-5.52464867857707E-08,0.00104621445375526,8.96167718563971E-05,0.00444895141676235,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/base_link.STL,,Assem_Prelim_reducido_para_urdf-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FrontRight_wheel,-0.0200915998046353,-4.09353535379131E-05,-7.3187470010113E-05,0,0,0,0.0641393198112098,1.05909175225007E-05,-2.65960923461101E-08,1.4884879064518E-08,9.22024127424863E-06,-3.32779596876557E-08,9.1793540218031E-06,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/FrontRight_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/FrontRight_wheel.STL,,MecanumReducidoDer-1,Origin_A_wheel,Axis_A_wheel,A_wheel,continuous,-0.092408,-0.0225,0.0375,1.5773,0,0,base_link,1,0,0,,,,,,,,,,,,
A_r1,-0.0200916046432381,0.00815698765209493,-0.0288697688325274,0,0,0,0.00600569680327048,4.16201839265504E-07,-2.33787813314613E-07,-6.6055406175231E-08,4.34162277016352E-07,-6.35668102139208E-08,6.41181843474001E-07,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/A_r1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/A_r1.STL,,MecanumReducidoDer-1/Rodillo-1,Origin_A_wheel,Axis1 <MecanumReducidoDer-1>,A1,continuous,0,0,0,0,0,0,FrontRight_wheel,-0.70711,-0.68047,-0.19226,,,,,,,,,,,,
A_r2,-0.0200916046432381,-0.0146461480299166,-0.0261818705956196,0,0,0,0.00600569680327048,4.16201839265597E-07,-2.1202117379408E-07,1.18604722512999E-07,4.74105250031347E-07,1.03509783228825E-07,6.01238870459196E-07,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/A_r2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/A_r2.STL,,MecanumReducidoDer-1/Rodillo-10,Origin_A_wheel,Axis2 <MecanumReducidoDer-1>,A2,continuous,0,0,0,0,0,0,FrontRight_wheel,-0.70711,-0.61711,0.34521,,,,,,,,,,,,
A_r3,-0.0200916046432382,-0.0261818705956195,0.0146461480299167,0,0,0,0.00600569680327051,4.16201839266206E-07,1.18604722512901E-07,2.12021173793902E-07,6.01238870459649E-07,-1.03509783228739E-07,4.74105250031909E-07,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/A_r3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/A_r3.STL,,MecanumReducidoDer-1/Rodillo-17,Origin_A_wheel,Axis3 <MecanumReducidoDer-1>,A3,continuous,0,0,0,0,0,0,FrontRight_wheel,-0.70711,0.34521,0.61711,,,,,,,,,,,,
A_r4,-0.0200916046432381,0.0146461480299168,0.0261818705956195,0,0,0,0.00600569680327057,4.16201839266947E-07,2.12021173793702E-07,-1.1860472251279E-07,4.74105250032596E-07,1.03509783228641E-07,6.01238870460215E-07,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/A_r4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/A_r4.STL,,MecanumReducidoDer-1/Rodillo-18,Origin_A_wheel,Axis4 <MecanumReducidoDer-1>,A4,continuous,0,0,0,0,0,0,FrontRight_wheel,-0.70711,0.61711,-0.34521,,,,,,,,,,,,
A_r5,-0.0200916046432382,0.0261818705956195,-0.0146461480299169,0,0,0,0.00600569680327054,4.16201839266459E-07,-1.18604722512857E-07,-2.1202117379382E-07,6.01238870459831E-07,-1.035097832287E-07,4.74105250032141E-07,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/A_r5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/A_r5.STL,,MecanumReducidoDer-1/Rodillo-19,Origin_A_wheel,Axis5 <MecanumReducidoDer-1>,A5,continuous,0,0,0,0,0,0,FrontRight_wheel,-0.70711,-0.34521,-0.61711,,,,,,,,,,,,
A_r6,-0.0200916046432382,-0.0288697688325274,-0.00815698765209482,0,0,0,0.00600569680327051,4.16201839265985E-07,-6.60554061751913E-08,2.33787813314476E-07,6.41181843474351E-07,6.35668102138827E-08,4.34162277016823E-07,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/A_r6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/A_r6.STL,,MecanumReducidoDer-1/Rodillo-20,Origin_A_wheel,Axis6 <MecanumReducidoDer-1>,A6,continuous,0,0,0,0,0,0,FrontRight_wheel,-0.70711,-0.19226,0.68047,,,,,,,,,,,,
A_r7,-0.0200916046432382,-0.00815698765209471,0.0288697688325275,0,0,0,0.00600569680327051,4.16201839265992E-07,2.33787813314482E-07,6.60554061751923E-08,4.34162277016829E-07,-6.35668102138837E-08,6.41181843474364E-07,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/A_r7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/A_r7.STL,,MecanumReducidoDer-1/Rodillo-21,Origin_A_wheel,Axis7 <MecanumReducidoDer-1>,A7,continuous,0,0,0,0,0,0,FrontRight_wheel,-0.70711,0.68047,0.19226,,,,,,,,,,,,
A_r8,-0.0200916046432381,0.0288697688325275,0.00815698765209463,0,0,0,0.00600569680327045,4.16201839265042E-07,6.60554061752728E-08,-2.3378781331477E-07,6.41181843473691E-07,6.35668102139612E-08,4.34162277015901E-07,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/A_r8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BaseMecanumURDF/meshes/A_r8.STL,,MecanumReducidoDer-1/Rodillo-22,Origin_A_wheel,Axis8 <MecanumReducidoDer-1>,A8,continuous,0,0,0,0,0,0,FrontRight_wheel,-0.70711,0.19226,-0.68047,,,,,,,,,,,,
